NP_249455.1	PA0764	mucB
NP_249456.1	PA0765	mucC
NP_249457.1	PA0766	mucD
NP_249458.1	PA0767	lepA
NP_249459.1	PA0768	lepB
NP_249460.1	PA0769	NODATA
NP_249461.1	PA0770	rnc
NP_249462.1	PA0771	era
NP_249463.1	PA0772	recO
NP_249464.1	PA0773	pdxJ
NP_249465.1	PA0774	NODATA
NP_249466.1	PA0775	NODATA
NP_249467.1	PA0776	NODATA
NP_249468.1	PA0777	NODATA
NP_249469.1	PA0778	icp
NP_249470.1	PA0779	NODATA
NP_249471.1	PA0780	pruR
NP_249472.1	PA0781	NODATA
NP_249473.1	PA0782	putA
NP_249474.1	PA0783	putP
NP_249475.1	PA0784	NODATA
NP_249476.1	PA0785	azoR1
NP_249477.1	PA0786	NODATA
